"species" "Functional_group" "Ascoma_type" "Ascoma_development" "Ascus_dehiscence" "C_perct" "N_perct" "P_perct" "C.N_perct" "C.P_perct" "N.P_perct" "Sporocarp_N_perct" "Melanin_content_mg.g" "Spore_width_μm" "Spore_length_μm" "Spore_size_μm3" "Fruiting_body_size_mm2" "Fos" "Ter" "Aqu" "Arb" "Aer" "Substrate" "RangeSize_km2" "IUCN_status" "gbif_accepted" "gbif_rank" "gbif_genus" "gbif_family" "gbif_order" "gbif_class" "gbif_phylum" "gbif_IUCN"
"Achroomyces effusus" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "fungi" NA NA "Colacogloea effusa (J.Schröt.) Malysheva, Schoutteten & Spirin" "SPECIES" "Colacogloea" "Colacogloeaceae" NA "Microbotryomycetes" "Basidiomycota" "NOT_EVALUATED"
"Achroomyces insignis" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "fungi" NA NA "Achroomyces insignis Hauerslev" "SPECIES" "Achroomyces" "Platygloeaceae" "Platygloeales" "Pucciniomycetes" "Basidiomycota" "NOT_EVALUATED"
"Achroomyces microsporus" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 NA 1 0 "wood" NA NA "Cystobasidium sebaceum G.W.Martin" "SPECIES" "Cystobasidium" "Cystobasidiaceae" "Cystobasidiales" "Cystobasidiomycetes" "Basidiomycota" "NOT_EVALUATED"
"Achroomyces peniophorae" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "fungi" NA NA "Colacogloea peniophorae (Bourdot & Galzin) Oberw., R.Bauer & Bandoni" "SPECIES" "Colacogloea" "Colacogloeaceae" NA "Microbotryomycetes" "Basidiomycota" "NOT_EVALUATED"
"Achroomyces robertsii" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "fungi" NA NA "Achroomyces robertsii Trichies" "SPECIES" "Achroomyces" "Platygloeaceae" "Platygloeales" "Pucciniomycetes" "Basidiomycota" "NOT_EVALUATED"
"Achroomyces sebaceus" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "fungi" NA NA "Naohidea sebacea (Berk. & Broome) Oberw." "SPECIES" "Naohidea" "Naohideaceae" "Naohideales" "Cystobasidiomycetes" "Basidiomycota" "NOT_EVALUATED"
"Acremonium hypholomatis" "lichenicolous_fungus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "mosses_lichens" NA NA "Acremonium hypholomatis (Boedijn) D.Hawksw." "SPECIES" "Acremonium" "Bionectriaceae" "Hypocreales" "Sordariomycetes" "Ascomycota" "NOT_EVALUATED"
"Acremonium pertusariae" "lichenicolous_fungus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "mosses_lichens" NA NA "Acremonium pertusariae Brackel & Etayo" "SPECIES" "Acremonium" "Bionectriaceae" "Hypocreales" "Sordariomycetes" "Ascomycota" "NOT_EVALUATED"
"Acrospermum adeanum" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "mosses_lichens" NA NA "Acrospermum adeanum Höhn." "SPECIES" "Acrospermum" "Acrospermaceae" "Acrospermales" "Dothideomycetes" "Ascomycota" "NOT_EVALUATED"
"Acrospermum compressum" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Acrospermum compressum Tode" "SPECIES" "Acrospermum" "Acrospermaceae" "Acrospermales" "Dothideomycetes" "Ascomycota" "NOT_EVALUATED"
"Acrospermum graminum" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Acrospermum graminum Lib." "SPECIES" "Acrospermum" "Acrospermaceae" "Acrospermales" "Dothideomycetes" "Ascomycota" "NOT_EVALUATED"
"Actinoscypha muelleri" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Actinoscypha muelleri Graddon" "SPECIES" "Actinoscypha" "Pezizellaceae" "Helotiales" "Leotiomycetes" "Ascomycota" "NOT_EVALUATED"
"Adelphella babingtonii" "saprobe" "exposed_hymenium" "ascohymenial" "operculate" NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Adelphella babingtonii (Berk. & Broome) Pfister, Matočec & I.Kušan" "SPECIES" "Adelphella" "Pezizaceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Aecidium cardui" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Aecidium cardui Syd. & P.Syd." "SPECIES" "Aecidium" "Pucciniaceae" "Pucciniales" "Pucciniomycetes" "Basidiomycota" "NOT_EVALUATED"
"Aecidium haussknechtianum" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA NA NA NA NA NA NA NA NA
"Aecidium otites" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA NA NA NA NA NA NA NA NA
"Aecidium pseudocolumnare" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Aecidium pseudocolumnare J.G.Kühn" "SPECIES" "Aecidium" "Pucciniaceae" "Pucciniales" "Pucciniomycetes" "Basidiomycota" "NOT_EVALUATED"
"Aecidium pulmonariae" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Puccinia bromina Erikss." "SPECIES" "Puccinia" "Pucciniaceae" "Pucciniales" "Pucciniomycetes" "Basidiomycota" "NOT_EVALUATED"
"Aecidium ranunculi-acris" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Aecidium ranunculi-acris Pers." "SPECIES" "Aecidium" "Pucciniaceae" "Pucciniales" "Pucciniomycetes" "Basidiomycota" "NOT_EVALUATED"
"Aecidium rehderianum" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Aecidium rehderianum Magnus" "SPECIES" "Aecidium" "Pucciniaceae" "Pucciniales" "Pucciniomycetes" "Basidiomycota" "NOT_EVALUATED"
"Aecidium scabiosae" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Aecidium scabiosae Dozy & Molk." "SPECIES" "Aecidium" "Pucciniaceae" "Pucciniales" "Pucciniomycetes" "Basidiomycota" "NOT_EVALUATED"
"Aecidium teodorescoi" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Aecidium teodorescoi Săvul. & O.Săvul." "SPECIES" "Aecidium" "Pucciniaceae" "Pucciniales" "Pucciniomycetes" "Basidiomycota" "NOT_EVALUATED"
"Aecidium tranzschelianum" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Aecidium tranzschelianum Lindr." "SPECIES" "Aecidium" "Pucciniaceae" "Pucciniales" "Pucciniomycetes" "Basidiomycota" "NOT_EVALUATED"
"Agaricus abruptibulbus" NA NA NA NA 44 NA 0.75 NA 671.91 NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA "Agaricus abruptibulbus Peck" "SPECIES" "Agaricus" "Agaricaceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Agaricus aestivalis" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Agaricus altipes (F.H.Møller) F.H.Møller" "SPECIES" "Agaricus" "Agaricaceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Agaricus altipes" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Agaricus altipes (F.H.Møller) F.H.Møller" "SPECIES" "Agaricus" "Agaricaceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Agaricus amanitaeformis" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Agaricus amanitaeformis Wasser" "SPECIES" "Agaricus" "Agaricaceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Agaricus annae" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Agaricus annae Pilát" "SPECIES" "Agaricus" "Agaricaceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Agaricus aristocratus" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Agaricus aristocratus Gulden" "SPECIES" "Agaricus" "Agaricaceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Agaricus arvensis" "saprobe" NA NA NA 44 NA 1.29 NA 89.71 NA NA NA 5 7.5 98.174770424681 12100 1 0 NA 0 0 "soil_peat" NA NA "Agaricus arvensis Schaeff." "SPECIES" "Agaricus" "Agaricaceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "LEAST_CONCERN"
"Agaricus augustus" "saprobe" NA NA NA 44 6.43 1.19333333333333 7.98 116.746666666667 6.98 NA NA 5.5 8.5 134.630335175713 19600 1 0 NA 0 0 "soil_peat" NA NA "Agaricus augustus Fr." "SPECIES" "Agaricus" "Agaricaceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Agaricus benesii" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Agaricus benesii (Pilát) Pilát" "SPECIES" "Agaricus" "Agaricaceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
