"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "BodyLength_mm" "BodyLength_male" "BodyLength_female" "BodyLength_min" "BodyLength_max" "Litter_size" "Development_total_d" "Development_egg_mean_d" "Development_larva_mean_d" "Development_pupa_mean_d" "Longevity_y" "Semivoltine" "Univoltine" "Bivoltine" "Multivoltine" "Overwintering_egg" "Overwintering_larva" "Overwintering_pupa" "Overwintering_imago" "Activity" "Larva_Diet" "Imago_Diet" "Larva_Diet_range" "Imago_Diet_range" "Diet_Carniv" "Diet_Scav" "Diet_Fungi" "Diet_Root" "Diet_Seed" "Diet_Leaf" "Diet_Flower" "Diet_Stem" "Diet_Grass" "Diet_Woody" "EIV_Light" "EIV_Temp" "EIV_Moisture" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "Dispersal_ability" "Dispersal_km" "Riparian_sp" "Habitat_ephemeral" "Habitat_lakes" "Habitat_ponds" "Habitat_rivers" "Habitat_streams" "Forewing_length_mm" "Hindwing_length_mm" "Sex_dimporh" "Territoriality" "Flight_mode_flier" "Flight_mode_percher" "BodyCol_black" "BodyCol_blue" "BodyCol_brown" "BodyCol_gray" "BodyCol_green" "BodyCol_orange" "BodyCol_pink" "BodyCol_red" "BodyCol_violet" "BodyCol_white" "BodyCol_yellow" "BodyColType_pigment" "BodyColType_pruinesc" "BodyColType_structur" "BodyPatterns_plain" "BodyPatterns_spotted" "BodyPatterns_striped" "Wing_Pigment" "WP_pattern" "WP_symmetry" "WP_dimorph" "WPColor_cover" "WPCol_amber" "WPCol_black" "WPCol_blue" "WPCol_brown" "WPCol_iredesc" "WPCol_orange" "WPCol_prunesc" "WPCol_red" "WPCol_yellow" "Larva_BodyLength_mm" "Larva_BodyLength_min" "Larva_BodyLength_max" "Larva_Habitat_stillwaters" "Larva_Habitat_watercourses" "Larva_Habitat_moors" "Larva_EIV_Drought" "Larva_Biotope_range" "MISSING_ALL_TRAITS"
"Libellula flaveolum" "Libellula flaveolum Linnaeus, 1758" "SPECIES" "homotypic synonym" "Sympetrum flaveolum (Linnaeus, 1758)" "Sympetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "CR" "LC" "VULNERABLE" 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 34.5 NA NA 32 37 NA 300 NA NA NA NA 0 1 0 0 1 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.416666666666667 NA 0 1 1 1 0 0.666666666666667 NA 2 1 0 1 0 0 NA 27.5 NA NA 0 1 1 0 1 0 0 0 0 1 0 0 0 1 0 0 1 1 0 "Yes" NA "hindwing" "not" 0.24 0 0 0 0 0 0 0 0 1 16 15 17 1 0 1 0 "oligotop" "NO"
"Libellula flavescens" "Libellula flavescens Fabricius, 1798" "SPECIES" NA "unresolved_accepted_11957" "Libellula" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA NA NA NA NA 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Libellula flavomaculata" "Libellula flavomaculata Vander Linden, 1825" "SPECIES" "homotypic synonym" "Somatochlora flavomaculata (Vander Linden, 1825)" "Somatochlora" "Corduliidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 49.5 NA NA 45 54 1247 1080 NA NA NA NA 1 0 0 0 1 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.708333333333333 NA 1 1 1 0 0 0.525773195876289 NA 2 0 1 0 0 0 NA 38.5 "strong" "territorial" 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 "Yes" NA NA NA NA NA NA NA NA NA NA NA NA NA 20.5 19 22 1 0 1 1 "oligotop" "NO"
"Libellula fonscolombii" "Libellula fonscolombii Selys, 1840" "SPECIES" "homotypic synonym" "Sympetrum fonscolombii (Selys, 1840)" "Sympetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INM" "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 39 NA NA 33 40 NA 75 NA NA NA NA 0 1 0 0 1 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 1 0 0 1 NA 1 1 1 0 1 0 NA 28 "strong" "territorial" 0 1 0 1 1 0 0 0 0 1 0 0 0 1 0 0 1 0 1 "Yes" NA "hindwing" "not" 0.02 0 0 0 0 0 0 0 1 0 18 17 19 1 0 1 1 "oligotop" "NO"
"Libellula forcipatus" "Libellula forcipatus Linnaeus, 1758" "SPECIES" "homotypic synonym" "Onychogomphus forcipatus (Linnaeus, 1758)" "Onychogomphus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" NA "NT" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 50.25 NA NA 46 54.5 NA 1080 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0.474226804123711 NA NA 0 1 0 1 1 NA 28 "strong" NA 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 24 22 26 1 1 0 0 NA "NO"
"Libellula fulva" "Libellula fulva Müller, 1764" "SPECIES" "accepted" "Libellula fulva Müller, 1764" "Libellula" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "CRITICALLY_ENDANGERED" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 43.5 NA NA 42 45 550 720 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 0 1 0 0 0 0.501718213058419 NA 2 0 1 0 0 1 NA 35 "strong" "territorial" 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 "yes" NA "hindwing" "strongly" 0.05 0 0 0 1 0 0 0 0 0 22.5 20 25 1 1 0 0 "oligotop" "NO"
"Libellula grandis" "Libellula grandis Linnaeus, 1758" "SPECIES" NA "unresolved_accepted_11958" "Libellula" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA NA NA NA NA 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Libellula isoceles" "Libellula isoceles Müller, 1767" "SPECIES" "homotypic synonym" "Aeshna isoceles (Müller, 1767)" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 64 NA NA 62 66 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA 0.708333333333333 NA 0 1 0 0 0 NA NA 2 0 1 0 0 0 NA 42 "weak" "territorial" 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 40.5 39 42 1 0 1 0 "oligotop" "NO"
"Libellula juncea" "Libellula juncea Linnaeus, 1758" "SPECIES" "homotypic synonym" "Aeshna juncea (Linnaeus, 1758)" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 72.5 NA NA 65 80 NA 1080 NA NA NA NA 1 0 0 0 1 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.25 NA 0 1 1 1 1 0.573883161512027 NA 1 0 1 1 0 0 NA 44 "strong" "territorial" 1 0 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 40.5 37 44 1 0 1 0 "oligotop" "NO"
"Libellula junius" "Libellula junius Drury, 1773" "SPECIES" "homotypic synonym" "Anax junius (Drury, 1773)" "Anax" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" NA NA "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 74 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 1 1 0 0 1 NA 50.5 "strong" NA 1 0 1 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Libellula lefebvrii" "Libellula lefebvrii Rambur, 1842" "SPECIES" "homotypic synonym" "Diplacodes lefebvrii (Rambur, 1842)" "Diplacodes" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 35190866.9984097 30 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 1 0 NA 24 "strong" "territorial" 0 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 "Yes" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Libellula leucosticta" "Libellula leucosticta Burmeister, 1839" "SPECIES" NA "unresolved_accepted_11959" "Libellula" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA NA NA NA NA 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Libellula meridionale" "Libellula meridionale Selys, 1841" "SPECIES" "homotypic synonym" "Sympetrum meridionale (Selys, 1841)" "Sympetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 37.5 NA NA 35 40 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 1 1 0 NA NA 2 1 0 0 0 0 NA 27.5 "strong" "non-territorial" 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 15.5 14 17 1 0 1 1 NA "NO"
"Libellula metallica" "Libellula metallica Vander Linden, 1825" "SPECIES" "homotypic synonym" "Somatochlora metallica (Vander Linden, 1825)" "Somatochlora" "Corduliidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "VULNERABLE" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3427046.59066834 52.5 NA NA 50 55 640.5 900 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 1 1 1 1 0 0.580756013745704 NA 2 0 1 0 0 1 NA 36 "strong" "territorial" 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 "Yes" NA NA NA 0.02 NA NA NA NA NA NA NA NA NA 24 22 26 1 1 1 0 "eurytop" "NO"
"Libellula nigra" "Libellula nigra Vander Linden, 1825" "SPECIES" NA "unresolved_accepted_11960" "Libellula" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA NA NA NA NA 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Libellula nitidinerve" "Libellula nitidinerve Selys, 1841" "SPECIES" "homotypic synonym" "Orthetrum nitidinerve (Selys, 1841)" "Orthetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" NA "VU" "NEAR_THREATENED" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 218061.736749263 48 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 1 1 0 NA 34.5 "strong" "territorial" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Libellula nymphula" "Libellula nymphula Sulzer, 1776" "SPECIES" "homotypic synonym" "Pyrrhosoma nymphula (Sulzer, 1776)" "Pyrrhosoma" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 34.5 NA NA 33 36 552 720 NA NA NA 0.205479452054795 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 1 0 0 0.439862542955326 NA 2 0 0 1 1 1 NA 22 "strong" "non-territorial" 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 1 1 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 21 1 1 1 0 "eurytop" "NO"
"Libellula pectoralis" "Libellula pectoralis Charpentier, 1825" "SPECIES" NA "unresolved_accepted_11961" "Libellula" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA NA NA NA NA 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Libellula pedemontanum" "Libellula pedemontanum Allioni, 1766" "SPECIES" NA "unresolved_accepted_11962" "Libellula" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA NA NA NA NA 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Libellula pratense" "Libellula pratense Müller, 1764" "SPECIES" "homotypic synonym" "Brachytron pratense (Müller, 1764)" "Brachytron" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "CRITICALLY_ENDANGERED" 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 58.5 NA NA 54 63 NA 900 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.666666666666667 NA 0 1 0 0 0 0.429553264604811 NA 2 0 1 0 0 0 NA 35.5 "strong" NA 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 37.5 35 40 1 1 1 0 "oligotop" "NO"
"Libellula puella" "Libellula puella Linnaeus, 1758" "SPECIES" "homotypic synonym" "Coenagrion puella (Linnaeus, 1758)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4913067.93576746 29 NA NA 33 25 NA 240 NA NA NA 0.126027397260274 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA NA NA 0 1 1 0 0 0.515463917525773 NA 2 0 1 0 1 0 NA 18 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 19 17 21 1 1 1 0 "eurytop" "NO"
"Libellula quadrimaculata" "Libellula quadrimaculata Linnaeus, 1758" "SPECIES" "accepted" "Libellula quadrimaculata Linnaeus, 1758" "Libellula" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 44 NA NA 40 48 NA 720 NA NA NA NA 0 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 1 0 0 0.731958762886598 NA 2 0 1 1 0 1 NA 35.5 "medium" "territorial" 0 1 1 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0 1 "yes" "dots" "hindwing" "not" 0.13 0 1 0 0 0 0 0 0 1 24.5 22 27 1 0 1 1 "eurytop" "NO"
"Libellula rubicunda" "Libellula rubicunda Linnaeus, 1758" "SPECIES" "homotypic synonym" "Leucorrhinia rubicunda (Linnaeus, 1758)" "Leucorrhinia" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INM" "No" NA "LC" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2328935.98029913 34.5 NA NA 31 38 NA 720 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.75 NA 0 1 0 0 0 0.563573883161512 NA 0 0 1 1 0 0 NA 29 "strong" "territorial" 0 1 1 0 0 0 0 0 0 1 0 0 0 1 1 0 1 1 0 "Yes" NA "hindwing" "not" 0.01 0 0 0 1 0 0 0 0 0 21 20 22 0 0 1 0 "stenotop" "NO"
"Libellula sabina" "Libellula sabina Drury, 1773" "SPECIES" "homotypic synonym" "Orthetrum sabina (Drury, 1773)" "Orthetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 47601207.7009003 46.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 1 1 1 1 1 NA 30.5 "weak" NA 1 1 1 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Libellula sanguineum" "Libellula sanguineum Müller, 1764" "SPECIES" "homotypic synonym" "Sympetrum sanguineum (Müller, 1764)" "Sympetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4785680.49452169 36.5 NA NA 34 39 NA 60 NA NA NA NA 0 1 0 0 1 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.666666666666667 NA 1 1 1 0 0 0.707903780068729 NA 2 1 0 0 0 0 NA 27 "strong" "non-territorial" 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 "Yes" NA "hindwing" "not" 0.03 0 0 0 0 0 0 0 1 0 15.5 13 18 1 1 1 0 "oligotop" "NO"
"Libellula splendens" "Libellula splendens Harris, 1780" "SPECIES" "homotypic synonym" "Calopteryx splendens (Harris, 1780)" "Calopteryx" "Calopterygidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "NT" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 5287293.60840565 46.5 NA NA 45 48 883 720 NA NA NA 0.189041095890411 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 1 NA 1 1 1 0 0 0.560137457044673 NA 2 0 0 0 1 1 NA 31.5 "strong" "territorial" 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 "Yes" NA "symmetric" "strongly" 0.65 0 1 0 0 1 0 0 0 0 21 19 23 0 1 0 0 "stenotop" "NO"
"Libellula striolatum" "Libellula striolatum Charpentier, 1840" "SPECIES" "homotypic synonym" "Sympetrum striolatum (Charpentier, 1840)" "Sympetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5159228.18216977 39.5 NA NA 35 44 NA 120 NA NA NA NA 0 1 0 0 1 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 0 1 1 0 0 0.77319587628866 NA 2 1 1 1 0 0 NA 27 "weak" NA 0 1 1 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 16 14 18 1 1 1 0 "eurytop" "NO"
"Libellula tenellum" "Libellula tenellum de Villers, 1789" "SPECIES" "homotypic synonym" "Ceriagrion tenellum (de Villers, 1789)" "Ceriagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "EN" "LC" "NEAR_THREATENED" 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 24 NA NA 25 23 NA 720 NA NA NA 0.0821917808219178 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 1 1 0 0 0 NA NA 2 0 0 0 0 1 NA 19 "strong" "non-territorial" 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 1 1 0 0 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 16.5 16 17 1 1 1 0 "oligotop" "NO"
"Libellula trinacria" "Libellula trinacria Selys, 1841" "SPECIES" "homotypic synonym" "Orthetrum trinacria (Selys, 1841)" "Orthetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 25491379.8370462 54 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 1 1 0 1 0 NA 33.5 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
